date,open,high,low,close,volume
10-06-2016,27.200,27.980,26.820,27.000,10036736
06-06-2016,27.830,27.880,26.500,27.050,11000974
30-05-2016,26.750,28.180,26.450,28.070,13061897
23-05-2016,27.130,27.790,26.600,26.790,11535722
16-05-2016,26.880,27.360,26.230,26.780,15149129
09-05-2016,28.470,28.720,26.530,27.340,13563612
02-05-2016,28.500,28.760,27.295,28.740,15849791
22-04-2016,26.350,28.230,26.295,27.850,12941138
18-04-2016,24.950,26.340,24.950,25.780,15047763
11-04-2016,24.500,25.490,23.820,25.050,13638056
04-04-2016,27.200,27.290,24.930,24.980,13835796
24-03-2016,27.500,27.790,26.680,26.940,11348922
21-03-2016,26.550,27.280,25.510,27.160,20912987
14-03-2016,27.820,28.400,25.910,26.770,17508267
07-03-2016,25.870,27.990,25.520,27.660,20187731
29-02-2016,28.120,28.400,25.310,25.350,19056303
22-02-2016,28.120,29.540,27.200,27.720,18517633
15-02-2016,26.740,28.085,25.760,27.950,13661279
08-02-2016,27.580,27.580,25.510,27.410,13877171
01-02-2016,26.050,28.480,25.720,27.910,14812808
25-01-2016,26.200,26.670,24.940,26.420,17566840
18-01-2016,27.250,27.920,26.070,26.290,13335944
11-01-2016,29.410,29.550,26.680,27.630,13005765
04-01-2016,28.170,29.740,27.800,29.580,6397139
24-12-2015,27.400,28.360,27.150,28.180,4826400
21-12-2015,26.500,27.170,26.000,27.140,22479449
14-12-2015,27.500,27.600,26.230,26.410,13850119
07-12-2015,29.970,30.940,27.960,28.000,12142468
30-11-2015,29.950,30.420,29.520,30.110,11113506
23-11-2015,29.040,30.670,28.610,30.000,11393974
16-11-2015,29.210,29.700,27.990,28.820,12943404
09-11-2015,29.950,30.920,28.950,29.230,10839680
02-11-2015,30.850,30.850,29.240,29.600,13584655
26-10-2015,31.410,31.570,30.070,31.070,10837296
19-10-2015,31.320,32.150,30.490,32.070,12495112
12-10-2015,31.210,32.630,30.280,32.020,14899935
05-10-2015,29.250,30.800,28.170,30.450,12328493
28-09-2015,29.170,29.950,28.640,29.910,14910751
21-09-2015,27.750,30.200,27.720,28.830,17699430
14-09-2015,29.500,30.220,27.430,28.410,22178409
07-09-2015,33.000,33.100,29.890,30.580,13349459
31-08-2015,29.460,32.700,29.040,32.260,21952310
24-08-2015,32.400,33.000,29.850,30.000,18094128
17-08-2015,34.750,34.900,32.310,32.590,12212028
10-08-2015,34.830,35.270,33.720,34.130,9574348
03-08-2015,33.600,35.920,33.380,35.250,15515220
27-07-2015,34.920,34.950,33.550,33.860,8949229
20-07-2015,33.970,35.300,33.800,34.780,9539984
13-07-2015,33.930,34.660,33.020,33.240,11688442
06-07-2015,33.840,35.950,33.570,34.120,9627549
29-06-2015,36.240,36.390,33.910,33.990,13547751
22-06-2015,35.500,35.990,34.810,35.830,12672332
15-06-2015,35.320,36.880,35.310,35.670,11858784
05-06-2015,36.790,36.790,35.050,35.270,8728740
01-06-2015,36.300,36.940,36.130,36.560,13337351
25-05-2015,34.770,36.600,33.810,36.300,13809119
18-05-2015,34.780,35.400,34.050,34.580,10087154
11-05-2015,35.780,35.980,33.760,34.500,15063507
04-05-2015,35.850,36.200,34.820,35.430,9159899
27-04-2015,35.250,35.930,34.300,35.890,12759271
20-04-2015,35.200,35.970,34.600,35.160,10894825
13-04-2015,34.650,35.390,34.000,34.970,12419062
02-04-2015,34.740,34.800,33.810,34.150,7182553
30-03-2015,35.330,35.690,33.830,34.000,16428581
23-03-2015,34.140,36.365,34.120,35.530,20071707
16-03-2015,34.990,35.180,33.560,33.990,11268879
09-03-2015,35.000,35.430,34.530,34.840,11019344
02-03-2015,36.420,36.690,34.530,35.300,18976313
23-02-2015,35.080,36.700,34.750,36.160,22212767
16-02-2015,35.290,35.650,33.250,35.170,20304368
09-02-2015,34.800,36.770,34.710,35.670,14294858
02-02-2015,34.460,34.980,33.400,34.650,17127864
23-01-2015,33.910,34.630,31.970,34.400,15835909
19-01-2015,35.780,36.090,33.900,34.170,16889514
12-01-2015,37.150,37.150,35.340,36.350,12246986
05-01-2015,38.450,38.580,37.650,38.330,4391064
29-12-2014,38.400,38.580,36.610,38.580,5221981
22-12-2014,34.270,38.890,34.260,38.700,23050207
15-12-2014,34.500,35.400,33.720,35.390,15961860
08-12-2014,34.960,36.540,34.570,35.390,20275486
01-12-2014,39.500,39.780,33.720,34.200,18959839
24-11-2014,39.100,39.590,37.850,39.460,9159260
17-11-2014,41.000,41.000,39.020,39.100,10760682
10-11-2014,40.700,41.100,39.920,40.910,11314665
03-11-2014,39.940,40.440,39.520,40.440,12242893
27-10-2014,40.200,40.300,39.510,40.150,8570836
20-10-2014,38.480,40.190,38.420,39.970,14840812
13-10-2014,41.020,41.020,38.220,38.720,12330026
06-10-2014,40.410,40.810,40.200,40.720,8500566
29-09-2014,41.230,41.690,40.430,40.530,11274680
22-09-2014,42.000,42.160,41.450,41.510,12674905
15-09-2014,42.530,42.960,41.940,42.140,12744040
08-09-2014,43.180,43.790,42.570,42.670,8361520
01-09-2014,44.100,44.230,42.390,43.070,23990807
25-08-2014,43.000,44.175,42.900,43.870,11531871
18-08-2014,42.050,42.800,41.790,42.750,8254098
11-08-2014,41.740,42.260,41.410,41.690,9174269
04-08-2014,42.660,43.230,41.510,41.930,11231463
28-07-2014,42.300,42.740,41.790,42.510,12089138
21-07-2014,41.600,42.410,41.350,42.210,9049491
14-07-2014,41.800,41.830,41.030,41.310,8857800
07-07-2014,41.290,42.070,41.095,42.020,10292504
30-06-2014,41.500,41.790,41.025,41.070,24211660
23-06-2014,42.850,42.850,40.740,41.500,67275761
